# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 100 resources.
# All costs follow linear functions with RNG seeds [0..99].
# - We schedule from 1.000 to 10.000 tasks with steps of 1000.
# - We run OLAR and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 0 and increase
# it every time we need a new order.
Scheduler,Tasks,Resources,Time
OLAR,1000,100,0.1259041330000059
Fed-LBAP,1000,100,0.48129689900000017
FedAvg,1000,100,0.10660817100000486
Proportional,1000,100,0.2718343929999918
OLAR,1000,100,0.12594028500001286
Fed-LBAP,1000,100,0.4753087309999984
Proportional,1000,100,0.2718813769999997
FedAvg,1000,100,0.10555722900001285
Proportional,1000,100,0.272148099000006
Fed-LBAP,1000,100,0.4783508519999913
OLAR,1000,100,0.12512846500000308
FedAvg,1000,100,0.1076234499999913
Proportional,1000,100,0.2710385959999968
Fed-LBAP,1000,100,0.4794111899999933
OLAR,1000,100,0.1259436219999941
FedAvg,1000,100,0.10588473199999271
OLAR,1000,100,0.12508127300000638
Fed-LBAP,1000,100,0.47732817400000727
Proportional,1000,100,0.270183123999999
FedAvg,1000,100,0.10555597399999783
Proportional,1000,100,0.27171644700000286
OLAR,1000,100,0.1246532379999934
FedAvg,1000,100,0.10547165299999506
Fed-LBAP,1000,100,0.4765432319999974
Proportional,1000,100,0.2700926779999975
FedAvg,1000,100,0.10532356400000253
OLAR,1000,100,0.12488929100000234
Fed-LBAP,1000,100,0.48034164999999973
Proportional,1000,100,0.27330562299999883
FedAvg,1000,100,0.10515944600000182
OLAR,1000,100,0.1259757699999966
Fed-LBAP,1000,100,0.6861174619999986
OLAR,1000,100,0.13850067399999944
Proportional,1000,100,0.27251841899999363
Fed-LBAP,1000,100,0.5009701980000045
FedAvg,1000,100,0.10615556400000514
Proportional,1000,100,0.27540397899998936
FedAvg,1000,100,0.10653744900000106
Fed-LBAP,1000,100,0.4767191079999975
OLAR,1000,100,0.12612239899999622
FedAvg,1000,100,0.10915413899999749
Proportional,1000,100,0.27148062499999526
OLAR,1000,100,0.1261026749999985
Fed-LBAP,1000,100,0.4801710130000032
Fed-LBAP,1000,100,0.47371321299999636
Proportional,1000,100,0.27101429300000746
OLAR,1000,100,0.12670782700000416
FedAvg,1000,100,0.10508017799999436
OLAR,1000,100,0.1248214900000022
FedAvg,1000,100,0.10529400800000133
Proportional,1000,100,0.2708262370000085
Fed-LBAP,1000,100,0.47828840399999706
FedAvg,1000,100,0.10492169100000126
OLAR,1000,100,0.12463152799999477
Proportional,1000,100,0.27207607999999084
Fed-LBAP,1000,100,0.47728286000000253
FedAvg,1000,100,0.10532642099998668
Proportional,1000,100,0.27118432900000755
OLAR,1000,100,0.12493319100001088
Fed-LBAP,1000,100,0.4761015389999983
OLAR,1000,100,0.12507826400000965
Proportional,1000,100,0.27085026999999684
FedAvg,1000,100,0.10529477199999349
Fed-LBAP,1000,100,0.47383988199999294
OLAR,1000,100,0.12618967599999564
Fed-LBAP,1000,100,0.475290101000013
FedAvg,1000,100,0.10539570299999923
Proportional,1000,100,0.2704834769999991
OLAR,1000,100,0.12488340099999107
Proportional,1000,100,0.2699578480000042
Fed-LBAP,1000,100,0.4775350409999959
FedAvg,1000,100,0.105267086000012
Fed-LBAP,1000,100,0.47788945899999646
OLAR,1000,100,0.1252045069999923
FedAvg,1000,100,0.10551508300000023
Proportional,1000,100,0.27007062799999915
OLAR,1000,100,0.12547401199999797
FedAvg,1000,100,0.10544210899999484
Proportional,1000,100,0.2701893840000196
Fed-LBAP,1000,100,0.47506912000000057
Proportional,1000,100,0.27080037600001106
Fed-LBAP,1000,100,0.4762036810000154
FedAvg,1000,100,0.10525492700000427
OLAR,1000,100,0.1266689720000045
FedAvg,1000,100,0.10509027700001639
OLAR,1000,100,0.12532231799997362
Proportional,1000,100,0.2700243270000158
Fed-LBAP,1000,100,0.47872763999998824
OLAR,1000,100,0.12469352399998002
Fed-LBAP,1000,100,0.47916006199997696
FedAvg,1000,100,0.10494843199998627
Proportional,1000,100,0.27086225099998273
FedAvg,1000,100,0.10684081299999093
Proportional,1000,100,0.268629973000003
OLAR,1000,100,0.12587264000001142
Fed-LBAP,1000,100,0.4775011830000153
Fed-LBAP,1000,100,0.47546529199999554
FedAvg,1000,100,0.1057196010000041
Proportional,1000,100,0.270860631000005
OLAR,1000,100,0.1259535370000151
Proportional,1000,100,0.26857120799999734
FedAvg,1000,100,0.10587961600000995
Fed-LBAP,1000,100,0.47808863099999144
OLAR,1000,100,0.1253191829999878
