# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - We use no lower or upper limits.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Scheduler,Tasks,Resources,Time
FedAvg,10000,100,0.00024085499899229035
Proportional,10000,100,0.002359347003221046
Random,10000,100,0.016380121000111103
OLAR,10000,100,1.9051704950034036
Fed-LBAP,10000,100,5.415321649001271
Fed-LBAP,10000,100,5.418461642999318
Random,10000,100,0.016342221999366302
FedAvg,10000,100,0.00023359699844149873
OLAR,10000,100,1.9121468299999833
Proportional,10000,100,0.0023240409936988726
OLAR,10000,100,1.9001228049964993
Random,10000,100,0.016334599000401795
FedAvg,10000,100,0.00022824999905424193
Fed-LBAP,10000,100,5.413710196000466
Proportional,10000,100,0.0023115990043152124
Proportional,10000,100,0.002343661995837465
Fed-LBAP,10000,100,5.411321505998785
FedAvg,10000,100,0.000234346000070218
OLAR,10000,100,1.9055688309963443
Random,10000,100,0.016382335998059716
Random,10000,100,0.01628273700043792
OLAR,10000,100,1.887586385004397
Proportional,10000,100,0.0023465359990950674
Fed-LBAP,10000,100,5.406711716001155
FedAvg,10000,100,0.0002328690025024116
Random,10000,100,0.01636463199974969
FedAvg,10000,100,0.00023385100212180987
Proportional,10000,100,0.0023240560039994307
OLAR,10000,100,1.8881541289956658
Fed-LBAP,10000,100,5.4436760430035065
Random,10000,100,0.016522837002412416
Fed-LBAP,10000,100,5.41461109300144
FedAvg,10000,100,0.0002270420009153895
Proportional,10000,100,0.002378506993409246
OLAR,10000,100,1.88908303000062
Random,10000,100,0.016487661996507086
Fed-LBAP,10000,100,5.412568367995846
Proportional,10000,100,0.0023609819982084446
OLAR,10000,100,1.8883575540021411
FedAvg,10000,100,0.00023320200125453994
OLAR,10000,100,1.8837281859960058
FedAvg,10000,100,0.0002240350004285574
Fed-LBAP,10000,100,5.405645573002403
Proportional,10000,100,0.0023253670005942695
Random,10000,100,0.0163658530000248
OLAR,10000,100,1.9031138330028625
FedAvg,10000,100,0.00022980699577601627
Proportional,10000,100,0.0023430299988831393
Fed-LBAP,10000,100,5.40261488899705
Random,10000,100,0.01613387699762825
Proportional,10000,100,0.0023416760013788007
Fed-LBAP,10000,100,5.412870742002269
FedAvg,10000,100,0.00023333200078923255
Random,10000,100,0.01631845600059023
OLAR,10000,100,1.8902680529936333
OLAR,10000,100,1.8830001410024124
Proportional,10000,100,0.00233678500080714
Random,10000,100,0.016290313003992196
FedAvg,10000,100,0.0002277570019941777
Fed-LBAP,10000,100,5.416960547998315
Random,10000,100,0.016353422004613094
Fed-LBAP,10000,100,5.417708950997621
OLAR,10000,100,1.8934067970039905
Proportional,10000,100,0.00235392900503939
FedAvg,10000,100,0.00023344300279859453
Proportional,10000,100,0.0023236229972098954
Fed-LBAP,10000,100,5.410034234002524
FedAvg,10000,100,0.00023361800413113087
OLAR,10000,100,1.8947106620034901
Random,10000,100,0.016420122999988962
OLAR,10000,100,1.891261854005279
Random,10000,100,0.0165068499991321
Fed-LBAP,10000,100,5.406394801000715
Proportional,10000,100,0.002342388004763052
FedAvg,10000,100,0.00023081099789123982
Random,10000,100,0.01629405499988934
Fed-LBAP,10000,100,5.410345892996702
FedAvg,10000,100,0.00023243900068337098
Proportional,10000,100,0.002335376004339196
OLAR,10000,100,1.9029542839998612
FedAvg,10000,100,0.00022763000015402213
Random,10000,100,0.01649973599705845
Fed-LBAP,10000,100,5.411888869995892
Proportional,10000,100,0.0023484459961764514
OLAR,10000,100,1.8856777310065809
Fed-LBAP,10000,100,5.418528767004318
Random,10000,100,0.01638339800410904
Proportional,10000,100,0.0023431359950336628
FedAvg,10000,100,0.00023095800133887678
OLAR,10000,100,1.8883683450039825
Random,10000,100,0.016391334997024387
FedAvg,10000,100,0.00022932999854674563
Fed-LBAP,10000,100,5.421160857003997
OLAR,10000,100,1.9029172559967265
Proportional,10000,100,0.0023619769999640994
OLAR,10000,100,1.8893444650020683
Proportional,10000,100,0.002363540006626863
FedAvg,10000,100,0.00023454699839930981
Fed-LBAP,10000,100,5.420332577996305
Random,10000,100,0.01617905199964298
FedAvg,10000,100,0.00023281099856831133
Random,10000,100,0.016360580004402436
Fed-LBAP,10000,100,5.414167172995803
OLAR,10000,100,1.8964983420009958
Proportional,10000,100,0.002327076996152755
Random,10000,100,0.016351090001990087
FedAvg,10000,100,0.00023165200400399044
Fed-LBAP,10000,100,5.40850263700122
OLAR,10000,100,1.909707384002104
Proportional,10000,100,0.0023571170022478327
Fed-LBAP,10000,100,5.423359700005676
FedAvg,10000,100,0.00023048999719321728
Random,10000,100,0.016322240000590682
