# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Scheduler,Tasks,Resources,Time
Fed-LBAP,10000,100,0.8950170569999898
FedAvg,10000,100,1.5577010519999988
OLAR,10000,100,1.818291706999986
Proportional,10000,100,3.78269377700002
Fed-LBAP,10000,100,0.7453486390000137
Proportional,10000,100,3.746049431999978
OLAR,10000,100,1.7988370240000222
FedAvg,10000,100,1.5192538210000066
Fed-LBAP,10000,100,0.7410452860000021
OLAR,10000,100,1.8013048549999837
Proportional,10000,100,3.7415579270000023
FedAvg,10000,100,1.5138818880000144
FedAvg,10000,100,1.520460944000007
Fed-LBAP,10000,100,0.7325810140000044
OLAR,10000,100,1.807388469999978
Proportional,10000,100,3.7221320190000142
OLAR,10000,100,1.800857513000011
Proportional,10000,100,3.7466495200000054
FedAvg,10000,100,1.518476824000004
Fed-LBAP,10000,100,0.7443751739999982
OLAR,10000,100,1.8095645479999973
FedAvg,10000,100,1.520406181999988
Proportional,10000,100,3.765669903999992
Fed-LBAP,10000,100,0.7430711560000134
Proportional,10000,100,3.7557191450000005
FedAvg,10000,100,1.5247878810000088
OLAR,10000,100,1.8059330920000036
Fed-LBAP,10000,100,0.7423272350000047
OLAR,10000,100,1.804146220000007
Proportional,10000,100,3.7472018890000243
Fed-LBAP,10000,100,0.7400645289999943
FedAvg,10000,100,1.5186650520000171
OLAR,10000,100,1.801445206999972
Proportional,10000,100,3.7397307899999817
Fed-LBAP,10000,100,0.7365671129999782
FedAvg,10000,100,1.5138851229999943
OLAR,10000,100,1.8068871899999976
FedAvg,10000,100,1.5163079370000219
Fed-LBAP,10000,100,0.7420949890000088
Proportional,10000,100,3.740657704
Proportional,10000,100,3.777147398000011
FedAvg,10000,100,1.5106687999999622
OLAR,10000,100,1.8060908989999689
Fed-LBAP,10000,100,0.7410838289999901
Fed-LBAP,10000,100,0.741427643999998
OLAR,10000,100,1.800944467000022
Proportional,10000,100,3.720429636999995
FedAvg,10000,100,1.519346435999978
Proportional,10000,100,3.72106500000001
Fed-LBAP,10000,100,0.7399455389999616
OLAR,10000,100,1.818753843999957
FedAvg,10000,100,1.5193851129999985
FedAvg,10000,100,1.5212730050000118
Fed-LBAP,10000,100,0.7373999929999968
OLAR,10000,100,1.8120918209999672
Proportional,10000,100,3.763215430999992
Fed-LBAP,10000,100,0.7379995260000101
Proportional,10000,100,3.778468050000015
OLAR,10000,100,1.7994455970000445
FedAvg,10000,100,1.5271950339999876
Proportional,10000,100,3.7357098740000083
FedAvg,10000,100,1.5180776259999789
Fed-LBAP,10000,100,0.736610015999986
OLAR,10000,100,1.8139492170000153
Fed-LBAP,10000,100,0.7449285149999696
OLAR,10000,100,1.7950801790000241
Proportional,10000,100,3.7764563679999696
FedAvg,10000,100,1.5276286529999652
FedAvg,10000,100,1.56747247200002
Proportional,10000,100,3.725907871000004
Fed-LBAP,10000,100,0.7395828200000096
OLAR,10000,100,1.8007707819999723
Proportional,10000,100,3.767647414999999
OLAR,10000,100,1.800318365999999
FedAvg,10000,100,1.5172442209999986
Fed-LBAP,10000,100,0.7580094599999825
FedAvg,10000,100,1.542115453000008
OLAR,10000,100,1.8667082420000156
Proportional,10000,100,3.782522411000002
Fed-LBAP,10000,100,0.748465130999989
OLAR,10000,100,1.811436948999983
FedAvg,10000,100,1.523738599000012
Proportional,10000,100,3.737852381000039
Fed-LBAP,10000,100,0.7434760640000491
OLAR,10000,100,1.8028548210000395
Proportional,10000,100,3.762073170000008
Fed-LBAP,10000,100,0.7425246799999741
FedAvg,10000,100,1.5191598240000417
FedAvg,10000,100,1.5176684870000372
Fed-LBAP,10000,100,0.7384234819999733
OLAR,10000,100,1.8006858820000389
Proportional,10000,100,3.723370920999969
Proportional,10000,100,3.735603762999972
Fed-LBAP,10000,100,0.7413164609999967
FedAvg,10000,100,1.5187878080000132
OLAR,10000,100,1.804262657000038
FedAvg,10000,100,1.5172234230000186
Fed-LBAP,10000,100,0.7422152359999927
OLAR,10000,100,1.795362827999952
Proportional,10000,100,3.7265786670000125
FedAvg,10000,100,1.5201462809999953
Proportional,10000,100,3.7632165799999484
OLAR,10000,100,1.8108184540000138
Fed-LBAP,10000,100,0.7428238009999859
OLAR,10000,100,1.8043293179999864
Proportional,10000,100,3.7555787420000115
Fed-LBAP,10000,100,0.7422251169999754
FedAvg,10000,100,1.520183645999964
OLAR,10000,100,1.7983710459999998
Fed-LBAP,10000,100,0.7371679340000128
Proportional,10000,100,3.7270298110000226
FedAvg,10000,100,1.5153373549999856
Proportional,10000,100,3.7463660529999743
OLAR,10000,100,1.7964499149999824
FedAvg,10000,100,1.5163949980000098
Fed-LBAP,10000,100,0.7433490650000181
OLAR,10000,100,1.8092037420000224
Proportional,10000,100,3.7682760760000065
Fed-LBAP,10000,100,0.7406722499999887
FedAvg,10000,100,1.5197051190000366
Proportional,10000,100,3.7383547840000233
OLAR,10000,100,1.7995586419999654
FedAvg,10000,100,1.5239861910000059
Fed-LBAP,10000,100,0.7414658519999762
Fed-LBAP,10000,100,0.7417395009999836
Proportional,10000,100,3.7261763409999844
FedAvg,10000,100,1.516722711
OLAR,10000,100,1.8098442050000472
Fed-LBAP,10000,100,0.738462912999978
FedAvg,10000,100,1.524394210999958
Proportional,10000,100,3.7724165569999855
OLAR,10000,100,1.7989293599999883
Proportional,10000,100,3.754972576
FedAvg,10000,100,1.515525800999967
OLAR,10000,100,1.7892050610000183
Fed-LBAP,10000,100,0.7397775990000355
OLAR,10000,100,1.7937835230000019
Proportional,10000,100,3.7289474660000224
Fed-LBAP,10000,100,0.7440073859999643
FedAvg,10000,100,1.5187837700000273
Fed-LBAP,10000,100,0.7365541390000203
OLAR,10000,100,1.8040466609999726
Proportional,10000,100,3.766154309000001
FedAvg,10000,100,1.521733150999978
Fed-LBAP,10000,100,0.7439259750000247
FedAvg,10000,100,1.5158877709999956
