# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Limits,Tasks,Resources,Time
Upper,10000,100,1.9277311529999963
None,10000,100,1.9312927729999956
Lower,10000,100,1.856010501
Both,10000,100,1.8493714720000014
Upper,10000,100,1.9312922410000084
Both,10000,100,1.853357213999999
Lower,10000,100,1.868038661
None,10000,100,1.931515239999996
Upper,10000,100,1.9256907580000018
Lower,10000,100,1.8587435799999952
Both,10000,100,1.8458287500000097
None,10000,100,1.9408818269999983
None,10000,100,1.9320111789999999
Upper,10000,100,1.924651692999987
Lower,10000,100,1.8594311660000074
Both,10000,100,1.844322109999979
Lower,10000,100,1.858318655000005
Both,10000,100,1.8469950719999986
None,10000,100,1.9299057949999963
Upper,10000,100,1.9246135530000004
Lower,10000,100,1.8551474239999948
None,10000,100,1.931359901999997
Both,10000,100,1.8454576009999926
Upper,10000,100,1.918433422999982
Both,10000,100,1.849424044000017
None,10000,100,1.925973823999982
Lower,10000,100,1.858212535000007
Upper,10000,100,1.9229676160000224
Lower,10000,100,1.855539622000009
Both,10000,100,1.8505881719999877
Upper,10000,100,1.9243286109999929
None,10000,100,1.9325743049999744
Lower,10000,100,1.8538353870000037
Both,10000,100,1.8518020410000133
Upper,10000,100,1.9332026809999832
None,10000,100,1.9556391659999974
Lower,10000,100,1.8547161689999996
None,10000,100,1.9302043790000027
Upper,10000,100,1.9271204539999758
Both,10000,100,1.844631163999992
Both,10000,100,1.847271104000015
None,10000,100,1.9283384809999973
Lower,10000,100,1.8658143049999865
Upper,10000,100,1.9213947849999897
Upper,10000,100,1.917310538999999
Lower,10000,100,1.8517207559999918
Both,10000,100,1.8416804569999954
None,10000,100,1.9322798409999962
Both,10000,100,1.8472531550000042
Upper,10000,100,1.9291445579999902
Lower,10000,100,1.863063009000001
None,10000,100,1.9421015529999863
None,10000,100,1.95906063999999
Upper,10000,100,1.9196337659999756
Lower,10000,100,1.8528891939999994
Both,10000,100,1.8470329200000037
Upper,10000,100,1.9255811629999755
Both,10000,100,1.847779978999995
Lower,10000,100,1.863508094000025
None,10000,100,1.9342739629999812
Both,10000,100,1.8410350839999978
None,10000,100,1.930564041999986
Upper,10000,100,1.9284718029999794
Lower,10000,100,1.8549357150000105
Upper,10000,100,1.9272965959999908
Lower,10000,100,1.8547395679999852
Both,10000,100,1.8506003690000057
None,10000,100,1.9933661119999897
None,10000,100,1.9788339690000498
Both,10000,100,1.875807543999997
Upper,10000,100,1.9271831639999846
Lower,10000,100,1.8555434500000274
Both,10000,100,1.8466081100000338
Lower,10000,100,1.853869949
None,10000,100,1.9350496449999923
Upper,10000,100,1.9246792089999758
None,10000,100,1.9303363729999887
Lower,10000,100,1.8669073649999746
Both,10000,100,1.8453809790000264
Upper,10000,100,1.9275730310000085
Lower,10000,100,1.8538545460000364
None,10000,100,1.9335332809999954
Both,10000,100,1.8672856399999773
Upper,10000,100,1.9271006210000223
Lower,10000,100,1.861637174000009
Both,10000,100,1.845691137000017
Upper,10000,100,1.934528639000007
None,10000,100,1.9475491549999902
None,10000,100,1.9375259579999806
Upper,10000,100,1.9311902940000323
Lower,10000,100,1.8821971869999743
Both,10000,100,1.8427779720000217
Both,10000,100,1.8519090479999818
Upper,10000,100,1.932318108000004
None,10000,100,1.960500839999952
Lower,10000,100,1.86086420700002
None,10000,100,1.9451714560000255
Upper,10000,100,1.9270072919999848
Lower,10000,100,1.8574188420000155
Both,10000,100,1.853432467999994
None,10000,100,1.9335839569999962
Both,10000,100,1.849337931999969
Lower,10000,100,1.8654556920000118
Upper,10000,100,1.9388323609999816
Lower,10000,100,1.8613381979999986
Both,10000,100,1.8467234830000052
Upper,10000,100,1.9255507870000201
None,10000,100,1.9454656290000116
Lower,10000,100,1.8548554029999877
Upper,10000,100,1.9287073279999731
Both,10000,100,1.856111736999992
None,10000,100,1.936234565999996
Both,10000,100,1.8443968100000347
Lower,10000,100,1.8605083289999698
None,10000,100,1.9316685709999888
Upper,10000,100,1.9249671740000167
Lower,10000,100,1.856600630999992
Both,10000,100,1.84948854299995
Upper,10000,100,1.924970031999976
None,10000,100,1.9332479729999932
Both,10000,100,1.8573551279999947
Lower,10000,100,1.856758259000003
None,10000,100,1.9323825600000077
Upper,10000,100,1.928833198999996
Upper,10000,100,1.9256368330000555
Both,10000,100,1.8488190780000195
None,10000,100,1.9283394320000298
Lower,10000,100,1.8784836789999986
Upper,10000,100,1.9295428450000145
None,10000,100,1.9329232450000404
Both,10000,100,1.8475047250000216
Lower,10000,100,1.8550267910000002
Both,10000,100,1.8510135789999822
None,10000,100,1.9274767869999891
Lower,10000,100,1.8618357240000023
Upper,10000,100,1.9238945590000185
Lower,10000,100,1.8597779060000335
Both,10000,100,1.847861177000027
Upper,10000,100,1.9267787350000276
None,10000,100,1.9443558549999693
Upper,10000,100,1.92889787200005
Lower,10000,100,1.860868967999977
Both,10000,100,1.8512688379999531
None,10000,100,1.9336519690000387
Upper,10000,100,1.927623589999996
None,10000,100,1.932462623000049
Both,10000,100,1.847424808000028
Lower,10000,100,1.8692170800000554
None,10000,100,1.9385863769999787
Both,10000,100,1.853418471999987
Upper,10000,100,1.9283263859999806
Lower,10000,100,1.8561472149999645
Both,10000,100,1.8520532659999844
Lower,10000,100,1.8543311010000139
None,10000,100,1.9492669400000295
Upper,10000,100,1.9264410440000006
Lower,10000,100,1.855713111
None,10000,100,1.9304048120000061
Both,10000,100,1.8414059620000103
Upper,10000,100,1.921879759000035
Lower,10000,100,1.8548551629999679
None,10000,100,1.9316154589999996
Both,10000,100,1.8489658099999815
Upper,10000,100,1.9342415479999886
Lower,10000,100,1.8542080820000137
None,10000,100,1.932285974000024
Both,10000,100,1.845311578999997
Upper,10000,100,1.9269055689999846
Lower,10000,100,1.8583197460000065
Upper,10000,100,1.9246571679999533
Both,10000,100,1.8514202950000254
None,10000,100,1.9360578170000053
Lower,10000,100,1.8633186389999992
Upper,10000,100,1.9259316949999743
None,10000,100,1.9428044900000145
Both,10000,100,1.8496069229999534
None,10000,100,1.930243040999983
Upper,10000,100,1.9299875100000463
Lower,10000,100,1.856340156999977
Both,10000,100,1.8514876829999594
Upper,10000,100,1.9358776210000315
Lower,10000,100,1.8578910390000374
None,10000,100,1.9349082470000667
Both,10000,100,1.8469120700000303
Upper,10000,100,1.930003180999961
Lower,10000,100,1.873929526999973
Both,10000,100,1.8431236239999862
None,10000,100,2.034563129999924
None,10000,100,2.0060673680000036
Lower,10000,100,1.883986606999997
Both,10000,100,1.852725568999972
Upper,10000,100,2.0813289349999877
None,10000,100,2.0435585230000015
Upper,10000,100,1.9313949729998967
Lower,10000,100,1.8547842909999872
Both,10000,100,1.8749553289999312
Upper,10000,100,1.9251794770000288
Both,10000,100,1.8467071259999557
