# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow linear functions with RNG seeds [100..199].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (4000, 5000, 6000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:4000),1000,10,1170.9058102234803
Random-(seed:5000),1000,10,1765.4089338030883
Random-(seed:6000),1000,10,1125.6325122818123
Proportional-(1),1000,10,710.6453274521708
Proportional-(tasks/res),1000,10,374.7410055106535
Proportional-(tasks),1000,10,374.7410055106535
FedAvg,1000,10,959.9530889532969
Fed-LBAP,1000,10,370.44438892391184
OLAR,1000,10,370.44438892391184
Random-(seed:4000),1100,10,1423.1555621345356
Random-(seed:5000),1100,10,1448.9798518978132
Random-(seed:6000),1100,10,1183.2589126954917
Proportional-(1),1100,10,777.7666478563201
Proportional-(tasks/res),1100,10,417.2442983467568
Proportional-(tasks),1100,10,410.62413424899705
FedAvg,1100,10,1055.840689530653
Fed-LBAP,1100,10,407.73447729297186
OLAR,1100,10,407.73447729297186
Random-(seed:4000),1200,10,1387.7361514377828
Random-(seed:5000),1200,10,1118.5486301424617
Random-(seed:6000),1200,10,1175.2196872572663
Proportional-(1),1200,10,854.476728318205
Proportional-(tasks/res),1200,10,452.6637090435096
Proportional-(tasks),1200,10,447.5615271724835
FedAvg,1200,10,1151.728290108009
Fed-LBAP,1200,10,444.05620270663934
OLAR,1200,10,444.05620270663934
Random-(seed:4000),1300,10,1842.1190142649734
Random-(seed:5000),1300,10,2120.1930559393063
Random-(seed:6000),1300,10,1288.3139479472609
Proportional-(1),1300,10,921.5980487223544
Proportional-(tasks/res),1300,10,488.08311974026236
Proportional-(tasks),1300,10,488.08311974026236
FedAvg,1300,10,1247.6158906853652
Fed-LBAP,1300,10,480.5150860665162
OLAR,1300,10,480.5150860665162
Random-(seed:4000),1400,10,1685.2592012905063
Random-(seed:5000),1400,10,1679.110093283468
Random-(seed:6000),1400,10,1506.5187291154011
Proportional-(1),1400,10,998.3081291842393
