# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow linear functions with RNG seeds [600..699].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(1),1000,10,689.4486806885456
Proportional-(tasks/res),1000,10,365.01943881841646
Proportional-(tasks),1000,10,365.01943881841646
FedAvg,1000,10,1051.1654658864584
Fed-LBAP,1000,10,362.14234868932004
OLAR,1000,10,362.14234868932004
Proportional-(1),1100,10,760.028924300027
Proportional-(tasks/res),1100,10,400.5260956931675
Proportional-(tasks),1100,10,401.8778756033877
FedAvg,1100,10,1150.1199944058649
Fed-LBAP,1100,10,398.0655776583752
OLAR,1100,10,398.0655776583752
Proportional-(1),1200,10,824.7274809438852
Proportional-(tasks/res),1200,10,436.5361410807367
Proportional-(tasks),1200,10,437.1642197444113
FedAvg,1200,10,1258.969975777212
Fed-LBAP,1200,10,433.11737441933593
OLAR,1200,10,433.11737441933593
Proportional-(1),1300,10,895.3077245553667
Proportional-(tasks/res),1300,10,472.06855438398475
Proportional-(tasks),1300,10,472.4505638854348
FedAvg,1300,10,1367.8199571485593
Fed-LBAP,1300,10,469.4796677570865
OLAR,1300,10,469.4796677570865
Proportional-(1),1400,10,965.8879681668483
Proportional-(tasks/res),1400,10,507.1163846922182
Proportional-(tasks),1400,10,507.7369080264583
FedAvg,1400,10,1466.7744856679658
Fed-LBAP,1400,10,505.0881507028235
OLAR,1400,10,505.0881507028235
Proportional-(1),1500,10,1036.46821177833
Proportional-(tasks/res),1500,10,543.6110130748019
