# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# Costs come from a mix of costs function (recursive, linear, nlogn, quadratic).
# For 10 resources, we use (3, 3, 2, 2), while we use 25 of each for
# 100 resources.
# - We use RNG seeds [400..499].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (13000, 14000, 15000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:13000),1000,10,25612.979482694926
Random-(seed:14000),1000,10,24024.8077145591
Random-(seed:15000),1000,10,46149.03909913519
Proportional-(1),1000,10,33388.76367661864
Proportional-(tasks/res),1000,10,813.08664076731
Proportional-(tasks),1000,10,819.8929923807383
FedAvg,1000,10,64162.472500702104
Fed-LBAP,1000,10,767.7832171136866
OLAR,1000,10,767.7832171136866
Random-(seed:13000),1100,10,43235.717175820515
Random-(seed:14000),1100,10,134491.95533594608
Random-(seed:15000),1100,10,40383.62025196733
Proportional-(1),1100,10,40148.20449996335
Proportional-(tasks/res),1100,10,882.4789509325284
Proportional-(tasks),1100,10,899.3733929401734
FedAvg,1100,10,77567.46936247978
Fed-LBAP,1100,10,843.6039787107034
OLAR,1100,10,843.6039787107034
Random-(seed:13000),1200,10,225737.89067134616
Random-(seed:14000),1200,10,167757.61697398152
Random-(seed:15000),1200,10,367468.83784930315
Proportional-(1),1200,10,47530.302911758845
Proportional-(tasks/res),1200,10,958.2375910422966
Proportional-(tasks),1200,10,988.2223041046468
FedAvg,1200,10,92243.19599660595
Fed-LBAP,1200,10,917.37121547915
OLAR,1200,10,917.37121547915
Random-(seed:13000),1300,10,9909.644864065081
Random-(seed:14000),1300,10,78787.17532846314
Random-(seed:15000),1300,10,89854.64601278015
Proportional-(1),1300,10,55535.058912005086
Proportional-(tasks/res),1300,10,1050.8447667104167
Proportional-(tasks),1300,10,1090.8009440387918
FedAvg,1300,10,108189.65240308062
Fed-LBAP,1300,10,995.0112755286121
