# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow nlogn functions with RNG seeds [200..299].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (7000, 8000, 9000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:7000),1000,10,6240.517393967802
Random-(seed:8000),1000,10,5634.803260007893
Random-(seed:9000),1000,10,7813.636495503551
Proportional-(1),1000,10,4585.650504289595
Proportional-(tasks/res),1000,10,2220.5744359514993
Proportional-(tasks),1000,10,2220.5744359514993
FedAvg,1000,10,3819.5095453819386
Fed-LBAP,1000,10,2038.7049000481502
OLAR,1000,10,2038.7049000481502
Random-(seed:7000),1100,10,6727.133575350372
Random-(seed:8000),1100,10,7813.636495503551
Random-(seed:9000),1100,10,6626.7324676262715
Proportional-(1),1100,10,5147.488526393059
Proportional-(tasks/res),1100,10,2485.4143947799207
Proportional-(tasks),1100,10,2485.4143947799207
FedAvg,1100,10,4287.163327093516
Fed-LBAP,1100,10,2286.397736660898
OLAR,1100,10,2286.397736660898
Random-(seed:7000),1200,10,7896.002250875019
Random-(seed:8000),1200,10,7572.262491127633
Random-(seed:9000),1200,10,7044.918197222698
Proportional-(1),1200,10,5732.883414870763
Proportional-(tasks/res),1200,10,2754.1652955785225
Proportional-(tasks),1200,10,2754.1652955785225
FedAvg,1200,10,4762.346656565967
Fed-LBAP,1200,10,2535.7223666745317
OLAR,1200,10,2535.7223666745317
Random-(seed:7000),1300,10,8758.556672544297
Random-(seed:8000),1300,10,6827.741474180806
Random-(seed:9000),1300,10,10228.758701743816
Proportional-(1),1300,10,6276.995474043543
Proportional-(tasks/res),1300,10,3026.502153338247
Proportional-(tasks),1300,10,3026.502153338247
FedAvg,1300,10,5244.430635696705
Fed-LBAP,1300,10,2791.5428252870092
OLAR,1300,10,2791.5428252870092
Random-(seed:7000),1400,10,8739.826242328874
Random-(seed:8000),1400,10,9931.339377265132
Random-(seed:9000),1400,10,10196.60874790554
Proportional-(1),1400,10,6878.122170015884
Proportional-(tasks/res),1400,10,3302.149897328272
Proportional-(tasks),1400,10,3319.4822476389218
FedAvg,1400,10,5732.883414870763
Fed-LBAP,1400,10,3052.8567113495087
OLAR,1400,10,3052.8567113495087
Random-(seed:7000),1500,10,7092.643805574715
Random-(seed:8000),1500,10,6193.623345793315
Random-(seed:9000),1500,10,7716.964611721105
Proportional-(1),1500,10,7486.562764661252
Proportional-(tasks/res),1500,10,3580.872682908989
Proportional-(tasks),1500,10,3598.390143842116
FedAvg,1500,10,6227.249321194798
Fed-LBAP,1500,10,3314.6931113577994
OLAR,1500,10,3314.6931113577994
Random-(seed:7000),1600,10,12002.193554455664
Random-(seed:8000),1600,10,7231.4760479871775
Random-(seed:9000),1600,10,5738.768050265131
Proportional-(1),1600,10,8050.294827812139
Proportional-(tasks/res),1600,10,3862.466053659624
Proportional-(tasks),1600,10,3880.1567463288416
FedAvg,1600,10,6727.133575350372
Fed-LBAP,1600,10,3579.713481277281
OLAR,1600,10,3579.713481277281
Random-(seed:7000),1700,10,7910.469438862054
Random-(seed:8000),1700,10,6949.59900517713
Random-(seed:9000),1700,10,13083.038541112186
Proportional-(1),1700,10,8671.405103053112
Proportional-(tasks/res),1700,10,4146.751062494534
Proportional-(tasks),1700,10,4164.604541073226
FedAvg,1700,10,7232.19084283276
Fed-LBAP,1700,10,3843.0210521344184
OLAR,1700,10,3843.0210521344184
Random-(seed:7000),1800,10,12824.621750268014
Random-(seed:8000),1800,10,7506.49347775066
Random-(seed:9000),1800,10,13134.800342268474
Proportional-(1),1800,10,9298.534730748112
Proportional-(tasks/res),1800,10,4433.569775404563
Proportional-(tasks),1800,10,4451.576782490463
FedAvg,1800,10,7742.116487420419
Fed-LBAP,1800,10,4111.073816603006
OLAR,1800,10,4111.073816603006
Random-(seed:7000),1900,10,12207.144117594802
Random-(seed:8000),1900,10,17367.29459143853
Random-(seed:9000),1900,10,8285.947409975148
Proportional-(1),1900,10,9878.396617786993
Proportional-(tasks/res),1900,10,4740.9340484129
Proportional-(tasks),1900,10,4740.9340484129
FedAvg,1900,10,8256.63977367787
Fed-LBAP,1900,10,4382.081226001292
OLAR,1900,10,4382.081226001292
Random-(seed:7000),2000,10,10181.236908325503
Random-(seed:8000),2000,10,8578.919617837379
Random-(seed:9000),2000,10,8919.346279856005
Proportional-(1),2000,10,10516.132824626442
Proportional-(tasks/res),2000,10,5032.551517403836
Proportional-(tasks),2000,10,5032.551517403836
FedAvg,2000,10,8775.518504024252
Fed-LBAP,2000,10,4666.331398845809
OLAR,2000,10,4666.331398845809
Random-(seed:7000),2100,10,16125.650501609522
Random-(seed:8000),2100,10,10539.768260583918
Random-(seed:9000),2100,10,11631.79272839884
Proportional-(1),2100,10,11158.983353496935
Proportional-(tasks/res),2100,10,5326.316788445434
Proportional-(tasks),2100,10,5326.316788445434
FedAvg,2100,10,9298.534730748112
Fed-LBAP,2100,10,4939.576734413527
OLAR,2100,10,4939.576734413527
Random-(seed:7000),2200,10,14962.219689628733
Random-(seed:8000),2200,10,12361.147299217817
Random-(seed:9000),2200,10,16764.735569507648
Proportional-(1),2200,10,11752.541253994727
Proportional-(tasks/res),2200,10,5622.128114305656
Proportional-(tasks),2200,10,5622.128114305656
FedAvg,2200,10,9825.491286401062
Fed-LBAP,2200,10,5215.909789442479
OLAR,2200,10,5215.909789442479
Random-(seed:7000),2300,10,13390.748006781678
Random-(seed:8000),2300,10,9188.762882566805
Random-(seed:9000),2300,10,14123.10743972741
Proportional-(1),2300,10,12404.513581797251
Proportional-(tasks/res),2300,10,5919.892954884873
Proportional-(tasks),2300,10,5919.892954884873
FedAvg,2300,10,10356.208946162407
Fed-LBAP,2300,10,5492.465026074555
OLAR,2300,10,5492.465026074555
Random-(seed:7000),2400,10,12453.831453929555
Random-(seed:8000),2400,10,12999.129800930641
Random-(seed:9000),2400,10,17367.29459143853
Proportional-(1),2400,10,13060.93185569491
Proportional-(tasks/res),2400,10,6219.526781214281
Proportional-(tasks),2400,10,6219.526781214281
FedAvg,2400,10,10890.524084512712
Fed-LBAP,2400,10,5781.906905210857
OLAR,2400,10,5781.906905210857
Random-(seed:7000),2500,10,15055.032362154774
Random-(seed:8000),2500,10,14807.76475400806
Random-(seed:9000),2500,10,12100.398374303522
Proportional-(1),2500,10,13721.60542065906
Proportional-(tasks/res),2500,10,6520.9520780594285
Proportional-(tasks),2500,10,6520.9520780594285
FedAvg,2500,10,11428.286723045729
Fed-LBAP,2500,10,6067.474878350934
OLAR,2500,10,6067.474878350934
Random-(seed:7000),2600,10,20123.62923387428
Random-(seed:8000),2600,10,12121.032953999518
Random-(seed:9000),2600,10,14437.059375416697
Proportional-(1),2600,10,14330.81131988354
Proportional-(tasks/res),2600,10,6824.097505536985
Proportional-(tasks),2600,10,6824.097505536985
FedAvg,2600,10,11969.358891058986
Fed-LBAP,2600,10,6348.898048092782
OLAR,2600,10,6348.898048092782
Random-(seed:7000),2700,10,18969.094694022755
Random-(seed:8000),2700,10,21979.246949377357
Random-(seed:9000),2700,10,16125.650501609522
Proportional-(1),2700,10,14999.163625720223
Proportional-(tasks/res),2700,10,7128.8971892630925
Proportional-(tasks),2700,10,7148.000678976663
FedAvg,2700,10,12513.61323867995
Fed-LBAP,2700,10,6634.433686286386
OLAR,2700,10,6634.433686286386
Random-(seed:7000),2800,10,16816.036922741157
Random-(seed:8000),2800,10,16125.650501609522
Random-(seed:9000),2800,10,22975.180357063575
Proportional-(1),2800,10,15671.29817929351
Proportional-(tasks/res),2800,10,7435.290115305931
Proportional-(tasks),2800,10,7454.491258445049
FedAvg,2800,10,13060.93185569491
Fed-LBAP,2800,10,6927.600348192858
OLAR,2800,10,6927.600348192858
Random-(seed:7000),2900,10,26011.69096788753
Random-(seed:8000),2900,10,16121.420141562487
Random-(seed:9000),2900,10,20065.705040339377
Proportional-(1),2900,10,16290.62534519007
Proportional-(tasks/res),2900,10,7743.219611285241
Proportional-(tasks),2900,10,7762.5149994225185
FedAvg,2900,10,13611.205259299184
Fed-LBAP,2900,10,7214.01671043184
OLAR,2900,10,7214.01671043184
Random-(seed:7000),3000,10,18808.07063960896
Random-(seed:8000),3000,10,26550.188122801166
Random-(seed:9000),3000,10,24255.316249573676
Proportional-(1),3000,10,16969.62949660587
Proportional-(tasks/res),3000,10,8052.632898810894
Proportional-(tasks),3000,10,8072.019353446085
FedAvg,3000,10,14164.331521608448
Fed-LBAP,3000,10,7508.454995403803
OLAR,3000,10,7508.454995403803
Random-(seed:7000),3100,10,21263.314792819452
Random-(seed:8000),3100,10,17337.268552803525
Random-(seed:9000),3100,10,31575.042535917164
Proportional-(1),3100,10,17652.03752089549
Proportional-(tasks/res),3100,10,8363.480705406024
Proportional-(tasks),3100,10,8382.955255457453
FedAvg,3100,10,14720.215513610932
Fed-LBAP,3100,10,7803.818959958683
OLAR,3100,10,7803.818959958683
Random-(seed:7000),3200,10,14881.269584184418
Random-(seed:8000),3200,10,29567.92442368425
Random-(seed:9000),3200,10,20300.658895084063
Proportional-(1),3200,10,18280.471881983904
Proportional-(tasks/res),3200,10,8695.276788489758
Proportional-(tasks),3200,10,8695.276788489758
FedAvg,3200,10,15278.768246759557
Fed-LBAP,3200,10,8101.814949568078
OLAR,3200,10,8101.814949568078
Random-(seed:7000),3300,10,23339.60271625429
Random-(seed:8000),3300,10,17353.231136577906
Random-(seed:9000),3300,10,25236.21042159455
Proportional-(1),3300,10,18969.094694022755
Proportional-(tasks/res),3300,10,9008.940890059339
Proportional-(tasks),3300,10,9008.940890059339
FedAvg,3300,10,15839.906296932528
Fed-LBAP,3300,10,8402.09599507275
OLAR,3300,10,8402.09599507275
Random-(seed:7000),3400,10,26610.102025380227
Random-(seed:8000),3400,10,35069.34669577216
Random-(seed:9000),3400,10,32499.4041781352
Proportional-(1),3400,10,19660.811835015207
Proportional-(tasks/res),3400,10,9304.184290827021
Proportional-(tasks),3400,10,9323.907093973217
FedAvg,3400,10,16403.551298270588
Fed-LBAP,3400,10,8691.294474997214
OLAR,3400,10,8691.294474997214
Random-(seed:7000),3500,10,28996.981212385752
Random-(seed:8000),3500,10,19685.284097015472
Random-(seed:9000),3500,10,18483.536547999258
Proportional-(1),3500,10,20297.524157302647
Proportional-(tasks/res),3500,10,9640.137302368008
Proportional-(tasks),3500,10,9640.137302368008
FedAvg,3500,10,16969.62949660587
Fed-LBAP,3500,10,8991.0348311978
