# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [300..399].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (10000, 11000, 12000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:10000),1000,10,155974.90825447306
Random-(seed:11000),1000,10,309519.861657057
Random-(seed:12000),1000,10,255655.07850872268
Proportional-(1),1000,10,82720.62021005186
Proportional-(tasks/res),1000,10,128444.63632024887
Proportional-(tasks),1000,10,135589.94777867408
FedAvg,1000,10,95386.58911947733
Fed-LBAP,1000,10,45758.67825243293
OLAR,1000,10,45758.67825243293
Random-(seed:10000),1100,10,154088.90381520987
Random-(seed:11000),1100,10,205401.89886507508
Random-(seed:12000),1100,10,225508.22794908215
Proportional-(1),1100,10,100308.69799253123
Proportional-(tasks/res),1100,10,155589.61272167205
Proportional-(tasks),1100,10,163444.04997049534
FedAvg,1100,10,115323.64149397597
Fed-LBAP,1100,10,55247.646773685374
OLAR,1100,10,55247.646773685374
Random-(seed:10000),1200,10,179853.90035538224
Random-(seed:11000),1200,10,476240.9525865622
Random-(seed:12000),1200,10,258773.75224990575
Proportional-(1),1200,10,119590.89443393427
Proportional-(tasks/res),1200,10,186276.67350988396
Proportional-(tasks),1200,10,194861.72520942046
FedAvg,1200,10,137151.3972360935
Fed-LBAP,1200,10,65756.20426104788
OLAR,1200,10,65756.20426104788
Random-(seed:10000),1300,10,297672.5857708456
Random-(seed:11000),1300,10,418682.85045800026
Random-(seed:12000),1300,10,339294.0321411566
Proportional-(1),1300,10,139012.7188062631
Proportional-(tasks/res),1300,10,218700.6974620486
Proportional-(tasks),1300,10,227994.87495198325
FedAvg,1300,10,160869.85634582984
Fed-LBAP,1300,10,76849.72833007897
OLAR,1300,10,76849.72833007897
Random-(seed:10000),1400,10,279147.3277538494
Random-(seed:11000),1400,10,592966.2283369383
Random-(seed:12000),1400,10,303154.7820230737
Proportional-(1),1400,10,161562.14408987603
Proportional-(tasks/res),1400,10,254826.77693890332
Proportional-(tasks),1400,10,264851.56887955114
FedAvg,1400,10,186479.01882318512
Fed-LBAP,1400,10,88896.9555682261
OLAR,1400,10,88896.9555682261
Random-(seed:10000),1500,10,519622.7267195348
Random-(seed:11000),1500,10,450708.7379682979
Random-(seed:12000),1500,10,268243.2156755122
Proportional-(1),1500,10,185805.6880324126
Proportional-(tasks/res),1500,10,292529.8484418095
Proportional-(tasks),1500,10,303263.76617285534
FedAvg,1500,10,213978.8846681592
Fed-LBAP,1500,10,101797.3699149066
OLAR,1500,10,101797.3699149066
Random-(seed:10000),1600,10,376199.926040307
Random-(seed:11000),1600,10,513294.06838182535
Random-(seed:12000),1600,10,304890.5027065912
Proportional-(1),1600,10,211743.35063387282
Proportional-(tasks/res),1600,10,334094.94660730683
Proportional-(tasks),1600,10,345559.4787890659
FedAvg,1600,10,243369.45388075223
Fed-LBAP,1600,10,115686.09661330405
OLAR,1600,10,115686.09661330405
Random-(seed:10000),1700,10,509491.19769243064
Random-(seed:11000),1700,10,466770.62847609224
Random-(seed:12000),1700,10,676197.1217516005
Proportional-(1),1700,10,239375.1318942567
Proportional-(tasks/res),1700,10,377077.06566095445
Proportional-(tasks),1700,10,390615.29044130427
FedAvg,1700,10,274650.72646096407
Fed-LBAP,1700,10,130612.49025147954
OLAR,1700,10,130612.49025147954
Random-(seed:10000),1800,10,752753.0862412988
Random-(seed:11000),1800,10,434749.88182120846
Random-(seed:12000),1800,10,435399.5117401818
Proportional-(1),1800,10,266550.14216992486
Proportional-(tasks/res),1800,10,424081.18251509464
Proportional-(tasks),1800,10,436985.4549379651
FedAvg,1800,10,307822.7024087948
Fed-LBAP,1800,10,146252.38415473918
OLAR,1800,10,146252.38415473918
Random-(seed:10000),1900,10,702417.9182397532
Random-(seed:11000),1900,10,753430.7390082226
Random-(seed:12000),1900,10,607338.9977202
Proportional-(1),1900,10,297449.1522725186
Proportional-(tasks/res),1900,10,472342.34911948367
Proportional-(tasks),1900,10,487480.28527884604
FedAvg,1900,10,342885.3817242444
Fed-LBAP,1900,10,163049.63551603004
OLAR,1900,10,163049.63551603004
Random-(seed:10000),2000,10,781642.1619512076
Random-(seed:11000),2000,10,1386189.183343643
Random-(seed:12000),2000,10,686475.6874439961
Proportional-(1),2000,10,330042.2810340361
Proportional-(tasks/res),2000,10,524785.4846622666
Proportional-(tasks),2000,10,539129.4973262483
FedAvg,2000,10,379838.76440731285
Fed-LBAP,2000,10,180468.02576986782
OLAR,2000,10,180468.02576986782
Random-(seed:10000),2100,10,697986.701549663
Random-(seed:11000),2100,10,447005.7809234933
Random-(seed:12000),2100,10,1191052.082267439
Proportional-(1),2100,10,364329.5284544771
Proportional-(tasks/res),2100,10,578325.6988173971
Proportional-(tasks),2100,10,595063.3463557721
FedAvg,2100,10,418682.85045800026
Fed-LBAP,2100,10,198678.95093861915
OLAR,2100,10,198678.95093861915
Random-(seed:10000),2200,10,926162.2156816187
Random-(seed:11000),2200,10,990647.6384020163
Random-(seed:12000),2200,10,1262539.8773779173
Proportional-(1),2200,10,397684.6144501983
Proportional-(tasks/res),2200,10,636207.8530488227
Proportional-(tasks),2200,10,651991.6059539159
FedAvg,2200,10,459417.63987630646
Fed-LBAP,2200,10,217679.94921889761
OLAR,2200,10,217679.94921889761
Random-(seed:10000),2300,10,588466.9759470883
Random-(seed:11000),2300,10,1382734.0216295281
Random-(seed:12000),2300,10,1044708.7831547331
Proportional-(1),2300,10,435239.0907128493
Proportional-(tasks/res),2300,10,695027.1147546949
Proportional-(tasks),2300,10,713364.4736720823
FedAvg,2300,10,502043.13266223157
Fed-LBAP,2300,10,237928.05180678613
OLAR,2300,10,237928.05180678613
Random-(seed:10000),2400,10,753430.7390082226
Random-(seed:11000),2400,10,1231373.0810415412
Random-(seed:12000),2400,10,505492.0794639234
Proportional-(1),2400,10,474487.68563442386
Proportional-(tasks/res),2400,10,758348.2876747632
Proportional-(tasks),2400,10,775571.7808209676
FedAvg,2400,10,546559.3288157756
Fed-LBAP,2400,10,259147.0318912306
OLAR,2400,10,259147.0318912306
Random-(seed:10000),2500,10,1332557.5180122324
Random-(seed:11000),2500,10,537209.9164995457
Random-(seed:12000),2500,10,903318.0319716084
Proportional-(1),2500,10,515430.3992149221
Proportional-(tasks/res),2500,10,824429.5596308592
Proportional-(tasks),2500,10,842383.6672277768
FedAvg,2500,10,592966.2283369383
Fed-LBAP,2500,10,281289.7814091819
OLAR,2500,10,281289.7814091819
Random-(seed:10000),2600,10,1234849.998404464
Random-(seed:11000),2600,10,877118.2151210923
Random-(seed:12000),2600,10,1286497.7660742213
Proportional-(1),2600,10,554965.5609306964
Proportional-(tasks/res),2600,10,891206.7885400879
Proportional-(tasks),2600,10,909870.0219274036
FedAvg,2600,10,641263.83122572
Fed-LBAP,2600,10,304254.39244923147
OLAR,2600,10,304254.39244923147
Random-(seed:10000),2700,10,1837710.0723769728
Random-(seed:11000),2700,10,1019828.984178688
Random-(seed:12000),2700,10,1001900.8285233041
Proportional-(1),2700,10,599175.5033534046
Proportional-(tasks/res),2700,10,962727.0791848267
Proportional-(tasks),2700,10,982120.9270228556
FedAvg,2700,10,691452.1374821205
Fed-LBAP,2700,10,327658.01790166745
OLAR,2700,10,327658.01790166745
Random-(seed:10000),2800,10,928806.41925866
Random-(seed:11000),2800,10,1441186.6752331993
Random-(seed:12000),2800,10,2092265.969810095
Proportional-(1),2800,10,645079.5644350364
Proportional-(tasks/res),2800,10,1034783.3556447966
Proportional-(tasks),2800,10,1054886.3292732239
FedAvg,2800,10,743531.1471061402
Fed-LBAP,2800,10,352293.0924363477
OLAR,2800,10,352293.0924363477
Random-(seed:10000),2900,10,1031102.8247173884
Random-(seed:11000),2900,10,2037754.0195459197
Random-(seed:12000),2900,10,1241896.357049683
Proportional-(1),2900,10,692677.7441755919
