# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [700..799].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(1),1000,10,103249.7886917077
Proportional-(tasks/res),1000,10,90855.77135347179
Proportional-(tasks),1000,10,90855.77135347179
FedAvg,1000,10,99649.68156641064
Fed-LBAP,1000,10,50553.647802338855
OLAR,1000,10,50553.647802338855
Proportional-(1),1100,10,124284.81105478488
Proportional-(tasks/res),1100,10,109426.56700443054
Proportional-(tasks),1100,10,110451.77979745287
FedAvg,1100,10,121549.23960387718
Fed-LBAP,1100,10,60931.99911174429
OLAR,1100,10,60931.99911174429
Proportional-(1),1200,10,149454.75619448122
Proportional-(tasks/res),1200,10,129723.03274667297
Proportional-(tasks),1200,10,130839.07028134177
FedAvg,1200,10,143344.1234605449
Fed-LBAP,1200,10,72594.363649664
OLAR,1200,10,72594.363649664
Proportional-(1),1300,10,174564.63325418066
Proportional-(tasks/res),1300,10,152952.03085651432
Proportional-(tasks),1300,10,152952.03085651432
FedAvg,1300,10,169393.3099077473
Fed-LBAP,1300,10,85160.15371531148
OLAR,1300,10,85160.15371531148
Proportional-(1),1400,10,201623.3538644386
Proportional-(tasks/res),1400,10,176790.66152297053
Proportional-(tasks),1400,10,178093.1287904927
FedAvg,1400,10,194960.58322781118
Fed-LBAP,1400,10,98406.08394449939
OLAR,1400,10,98406.08394449939
Proportional-(1),1500,10,230630.918025255
Proportional-(tasks/res),1500,10,202354.96228071037
Proportional-(tasks),1500,10,203748.25428987903
FedAvg,1500,10,225159.39808474938
Fed-LBAP,1500,10,112847.51741128009
OLAR,1500,10,112847.51741128009
Proportional-(1),1600,10,264498.1814897578
Proportional-(tasks/res),1600,10,231129.04988054905
Proportional-(tasks),1600,10,232617.94688092454
FedAvg,1600,10,254499.06086820946
Fed-LBAP,1600,10,128318.74046094155
OLAR,1600,10,128318.74046094155
Proportional-(1),1700,10,297580.60034719645
Proportional-(tasks/res),1700,10,260235.51556250267
Proportional-(tasks),1700,10,261815.2373045247
FedAvg,1700,10,288847.50413488346
Fed-LBAP,1700,10,145098.7038874058
OLAR,1700,10,145098.7038874058
Proportional-(1),1800,10,332611.8627551936
Proportional-(tasks/res),1800,10,292738.1978194085
Proportional-(tasks),1800,10,292738.1978194085
FedAvg,1800,10,325369.56228284765
Fed-LBAP,1800,10,162435.01826311924
OLAR,1800,10,162435.01826311924
Proportional-(1),1900,10,373050.43339843897
Proportional-(tasks/res),1900,10,325386.82842557586
Proportional-(tasks),1900,10,327152.97990045126
FedAvg,1900,10,360457.62805814954
Fed-LBAP,1900,10,180712.40407421807
OLAR,1900,10,180712.40407421807
Proportional-(1),2000,10,412156.5505030584
Proportional-(tasks/res),2000,10,359761.12912302697
Proportional-(tasks),2000,10,361618.10533954884
FedAvg,2000,10,401129.3146158495
Fed-LBAP,2000,10,200083.82070214147
OLAR,2000,10,200083.82070214147
Proportional-(1),2100,10,453211.5111582363
Proportional-(tasks/res),2100,10,397808.90086993005
Proportional-(tasks),2100,10,397808.90086993005
FedAvg,2100,10,439989.76985454763
Fed-LBAP,2100,10,220690.81598219785
OLAR,2100,10,220690.81598219785
Proportional-(1),2200,10,500221.3889802244
Proportional-(tasks/res),2200,10,435725.3664915949
Proportional-(tasks),2200,10,437768.7724409702
FedAvg,2200,10,484811.08482198336
Fed-LBAP,2200,10,241664.2266797337
OLAR,2200,10,241664.2266797337
Proportional-(1),2300,10,545351.2043320246
Proportional-(tasks/res),2300,10,475367.50220454345
Proportional-(tasks),2300,10,477501.73289556516
FedAvg,2300,10,527443.9295240777
Fed-LBAP,2300,10,264363.3418603278
OLAR,2300,10,264363.3418603278
Proportional-(1),2400,10,592429.8632343832
Proportional-(tasks/res),2400,10,518960.36344144377
Proportional-(tasks),2400,10,518960.36344144377
FedAvg,2400,10,576414.8729012492
Fed-LBAP,2400,10,287740.89911708387
OLAR,2400,10,287740.89911708387
Proportional-(1),2500,10,641457.3656873003
Proportional-(tasks/res),2500,10,564465.3245024813
Proportional-(tasks),2500,10,562144.6640786061
FedAvg,2500,10,622820.1070667397
Fed-LBAP,2500,10,311837.321234513
OLAR,2500,10,311837.321234513
Proportional-(1),2600,10,697164.5618340948
Proportional-(tasks/res),2600,10,609466.1199725737
Proportional-(tasks),2600,10,609466.1199725737
FedAvg,2600,10,675940.6788536472
Fed-LBAP,2600,10,337528.6558712662
OLAR,2600,10,337528.6558712662
Proportional-(1),2700,10,750266.9189836343
Proportional-(tasks/res),2700,10,656192.5855339497
Proportional-(tasks),2700,10,658699.6756906783
FedAvg,2700,10,731234.8655218448
Fed-LBAP,2700,10,363479.8618056311
OLAR,2700,10,363479.8618056311
Proportional-(1),2800,10,805318.119683732
Proportional-(tasks/res),2800,10,704644.7211866095
Proportional-(tasks),2800,10,707242.6360849845
FedAvg,2800,10,783388.5026791771
Fed-LBAP,2800,10,390976.17330915824
OLAR,2800,10,390976.17330915824
Proportional-(1),2900,10,862318.1639343884
Proportional-(tasks/res),2900,10,757511.2665705743
Proportional-(tasks),2900,10,760204.7864601561
FedAvg,2900,10,842832.3177571105
Fed-LBAP,2900,10,419476.1334985864
OLAR,2900,10,419476.1334985864
Proportional-(1),3000,10,926722.6784059892
Proportional-(tasks/res),3000,10,809505.5671474478
Proportional-(tasks),3000,10,812289.9117786761
FedAvg,3000,10,898758.344377839
Fed-LBAP,3000,10,448993.2868460375
OLAR,3000,10,448993.2868460375
Proportional-(1),3100,10,987797.5773532678
Proportional-(tasks/res),3100,10,866100.7071884798
Proportional-(tasks),3100,10,866100.7071884798
FedAvg,3100,10,962351.7878655081
Fed-LBAP,3100,10,479640.74383614725
OLAR,3100,10,479640.74383614725
Proportional-(1),3200,10,1050821.3198511049
Proportional-(tasks/res),3200,10,921637.1726895672
Proportional-(tasks),3200,10,924607.9470536489
FedAvg,3200,10,1022050.2039496328
Fed-LBAP,3200,10,510175.22653104586
OLAR,3200,10,510175.22653104586
Proportional-(1),3300,10,1121797.1415014486
Proportional-(tasks/res),3300,10,981960.9073876663
Proportional-(tasks),3300,10,981960.9073876663
FedAvg,3300,10,1089793.2758470378
Fed-LBAP,3300,10,542292.8975682703
