# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow recursive functions with RNG seeds [0..99].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (1000, 2000, 3000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:1000),1000,10,974.8406365662881
Random-(seed:2000),1000,10,795.6176468779563
Random-(seed:3000),1000,10,806.511738456463
Proportional-(1),1000,10,919.2069682706184
Proportional-(tasks/res),1000,10,559.4826368302755
Proportional-(tasks),1000,10,575.9591341176563
FedAvg,1000,10,584.4125442835468
Fed-LBAP,1000,10,554.8697106333232
OLAR,1000,10,554.8697106333232
Random-(seed:1000),1100,10,1031.9225530694646
Random-(seed:2000),1100,10,1099.6775182729846
Random-(seed:3000),1100,10,1301.4871273119331
Proportional-(1),1100,10,1003.3155050089431
Proportional-(tasks/res),1100,10,622.3311674602605
Proportional-(tasks),1100,10,627.8589706494366
FedAvg,1100,10,635.2825023893258
Fed-LBAP,1100,10,613.3483296120578
OLAR,1100,10,613.3483296120578
Random-(seed:1000),1200,10,1191.7506504962878
Random-(seed:2000),1200,10,1162.7337765341767
Random-(seed:3000),1200,10,1162.8457914843823
Proportional-(1),1200,10,1118.5893100175952
Proportional-(tasks/res),1200,10,673.5913813704742
Proportional-(tasks),1200,10,687.6396361953625
FedAvg,1200,10,692.8290432687204
Fed-LBAP,1200,10,668.9833584387522
OLAR,1200,10,668.9833584387522
Random-(seed:1000),1300,10,1239.6013859886732
Random-(seed:2000),1300,10,1135.755131119102
Random-(seed:3000),1300,10,1220.0394705790154
Proportional-(1),1300,10,1210.5544972612322
Proportional-(tasks/res),1300,10,729.4225791406348
Proportional-(tasks),1300,10,744.6781937572337
FedAvg,1300,10,750.4923171722137
Fed-LBAP,1300,10,722.9305087409605
OLAR,1300,10,722.9305087409605
Random-(seed:1000),1400,10,1238.8413274652896
Random-(seed:2000),1400,10,1160.51769872138
Random-(seed:3000),1400,10,1217.961549392189
Proportional-(1),1400,10,1321.8784098754918
Proportional-(tasks/res),1400,10,783.0170976262534
Proportional-(tasks),1400,10,799.4198560504407
FedAvg,1400,10,800.9141196904194
Fed-LBAP,1400,10,776.3092118240795
OLAR,1400,10,776.3092118240795
Random-(seed:1000),1500,10,1564.553198099235
Random-(seed:2000),1500,10,1315.6993558195545
Random-(seed:3000),1500,10,1538.424062969476
Proportional-(1),1500,10,1398.3528214229634
Proportional-(tasks/res),1500,10,833.5531740184412
Proportional-(tasks),1500,10,851.099836223855
FedAvg,1500,10,862.6798789575942
Fed-LBAP,1500,10,829.3406903312565
OLAR,1500,10,829.3406903312565
Random-(seed:1000),1600,10,1237.4927938738056
Random-(seed:2000),1600,10,1298.6928206908274
Random-(seed:3000),1600,10,1512.4294559613163
Proportional-(1),1600,10,1517.4582395662321
Proportional-(tasks/res),1600,10,887.2344977536046
Proportional-(tasks),1600,10,919.9526158550857
FedAvg,1600,10,919.9526158550857
Fed-LBAP,1600,10,884.0264658342768
OLAR,1600,10,884.0264658342768
Random-(seed:1000),1700,10,1303.5959078317326
Random-(seed:2000),1700,10,1580.7650674406054
Random-(seed:3000),1700,10,1479.9337415086777
Proportional-(1),1700,10,1614.0847111477715
Proportional-(tasks/res),1700,10,951.6199989821713
Proportional-(tasks),1700,10,982.6725702082632
FedAvg,1700,10,982.6725702082632
Fed-LBAP,1700,10,940.2700069888378
OLAR,1700,10,940.2700069888378
Random-(seed:1000),1800,10,1637.2781549110018
Random-(seed:2000),1800,10,2328.9810445106395
Random-(seed:3000),1800,10,1646.0577772190754
Proportional-(1),1800,10,1712.48781301859
Proportional-(tasks/res),1800,10,1007.0676429781904
Proportional-(tasks),1800,10,1035.2106388333093
FedAvg,1800,10,1035.2106388333093
Fed-LBAP,1800,10,996.1549789641604
OLAR,1800,10,996.1549789641604
Random-(seed:1000),1900,10,1613.2663319967392
Random-(seed:2000),1900,10,2379.847754966285
Random-(seed:3000),1900,10,1795.5377922211765
Proportional-(1),1900,10,1785.4783001383025
Proportional-(tasks/res),1900,10,1054.4438688907298
Proportional-(tasks),1900,10,1103.7960898483047
FedAvg,1900,10,1099.7734451591825
Fed-LBAP,1900,10,1046.4742739401872
OLAR,1900,10,1046.4742739401872
Random-(seed:1000),2000,10,1959.299145467288
Random-(seed:2000),2000,10,2159.0718420293524
Random-(seed:3000),2000,10,1928.7231388938235
Proportional-(1),2000,10,1872.642644173189
Proportional-(tasks/res),2000,10,1118.5893100175952
Proportional-(tasks),2000,10,1155.2240577909283
FedAvg,2000,10,1155.2240577909283
